filename,number of particles,average particle size,image coverage
65 250213B5 - 1.jpg,63,32121.214285714286,0.878314453125
25 250211A5 - 3.jpg,2425,500.6220618556701,0.5269134114583334
04 250211A1 - 4.jpg,68,1050.7941176470588,0.03101302083333333
37 250211A7 - 4.jpg,772,2599.8108808290153,0.8711171875
35 250211A7 - 2.jpg,1260,1397.6849206349207,0.7643589409722222
09 250211A2 -4.jpg,52,43064.346153846156,0.9719383680555556
38 250211A7 - 5.jpg,256,8495.51953125,0.9439466145833333
79 250213B7 - 3.jpg,583,3571.489708404803,0.9037233072916667
11 250211A3 - 1.jpg,26,85729.42307692308,0.9674327256944445
57 250213B3 - 3.jpg,896,1334.134486607143,0.518830078125
13 250211A3 - 3.jpg,1146,1491.7124781849914,0.7419715711805556
59 250213B3 - 5.jpg,1190,1286.6600840336134,0.6645509982638889
76 250213B6 - 6.jpg,78,27784.73717948718,0.9406291232638889
01 250211A1 - 1.jpg,1570,895.4289808917198,0.6101664496527778
69 250213B5 - 5.jpg,3767,265.94451818423147,0.4348146701388889
44 250211B1 - 1.jpg,4456,163.14744165170558,0.31553168402777776
06 250211A2 -1.jpg,1557,942.4916506101478,0.6369181857638889
70 250213B5 - 6.jpg,476,3811.919117647059,0.7875319010416667
74 250213B6 - 4.jpg,885,2282.30395480226,0.8766662326388889
83 250213B8 -1.jpg,1144,1459.3859265734266,0.7246256510416667
41 250211A8 - 2.jpg,348,5979.876436781609,0.9032105034722222
46 250211B1 - 3.jpg,1103,1527.0834088848594,0.7310646701388889
66 250213B5 - 2.jpg,3898,317.502437147255,0.5371634114583334
43 250211A8 - 4.jpg,287,7689.036585365854,0.9577923177083333
78 250213B7 - 2.jpg,1508,1170.6727453580902,0.7662215711805556
71 250213B6 - 1.jpg,4,572741.875,0.9943435329861111
20 250211A4 - 4.jpg,65,33220.47692307692,0.9372096354166667
63 250213B4 - 4.jpg,1738,1026.0106444188723,0.7739611545138889
42 250211A8 - 3.jpg,190,11558.323684210527,0.9531603732638889
14 250211A3 - 4.jpg,193,10929.261658031088,0.9155154079861111
77 250213B7 - 1.jpg,175,12222.817142857142,0.9283823784722223
52 250213B2 - 3.jpg,252,8051.013888888889,0.8805796440972222
29 250211A6 - 2.jpg,600,2515.145,0.6549856770833333
82 250213B7 - 6.jpg,887,1871.6358511837655,0.7205473090277777
62 250213B4 - 3.jpg,1390,1244.385251798561,0.7507358940972222
81 250213B7 - 5.jpg,287,1660.348432055749,0.20682291666666666
90 250213B8 -8.jpg,1193,201.02388935456833,0.10408919270833333
39 250211A7 - 6.jpg,515,3896.643689320388,0.8709945746527777
84 250213B8 -2.jpg,4193,247.20248032435012,0.4498784722222222
12 250211A3 - 2.jpg,762,2223.97375328084,0.7355329861111111
33 250211A6 - 6.jpg,635,2691.463779527559,0.7417879774305556
30 250211A6 - 3.jpg,336,4509.519345238095,0.6576382378472222
87 250213B8 -5.jpg,852,1863.1073943661972,0.6889615885416667
88 250213B8 -6.jpg,839,1911.1769964243147,0.6959537760416666
60 250213B4 - 1.jpg,4050,281.8448148148148,0.4954303385416667
89 250213B8 -7.jpg,239,9050.78870292887,0.9388621961805556
23 250211A5 - 1.jpg,2936,443.6949931880109,0.5654029947916667
07 250211A2 -2.jpg,91,24240.565934065933,0.9574181857638889
45 250211B1 - 2.jpg,554,3419.575812274368,0.8222417534722222
72 250213B6 - 2.jpg,1098,1744.1684881602914,0.8312052951388889
17 250211A4 - 1.jpg,23,95083.04347826086,0.9491796875
55 250213B3 - 1.jpg,1474,1157.3273405698778,0.740408203125
58 250213B3 - 4.jpg,1127,1650.9880212954747,0.8075796440972223
03 250211A1 - 3.jpg,501,3453.77245508982,0.751015625
53 250213B2 - 4.jpg,1127,1248.55057675244,0.6107276475694444
18 250211A4 - 2.jpg,125,15910.62,0.8632063802083333
28 250211A6 - 1.jpg,951,1458.2297581493165,0.6018995225694445
16 250211A3 - 6.jpg,457,579.8577680525165,0.11501519097222222
85 250213B8 -3.jpg,18,124948.66666666667,0.9761614583333333
47 250211B1 - 4.jpg,1346,203.68239227340268,0.11899153645833334
68 250213B5 - 4.jpg,4031,215.81108905978667,0.3775757378472222
21 250211A4 - 5.jpg,613,513.8703099510603,0.13671983506944443
22 250211A4 - 6.jpg,441,4135.283446712018,0.7915190972222222
08 250211A2 -3.jpg,157,13887.42356687898,0.9463218315972223
05 250211A1 - 5.jpg,131,1686.6526717557251,0.09589908854166666
49 250211B1 - 6.jpg,862,2119.3578886310906,0.7929194878472222
54 250213B2 - 5.jpg,2559,584.8018757327081,0.6495260416666667
40 250211A8 - 1.jpg,2829,483.3296217744786,0.5934633246527777
50 250213B2 - 1.jpg,2317,708.8981441519206,0.7128980034722222
10 250211A2 -5.jpg,157,792.9745222929936,0.05403515625
61 250213B4 - 2.jpg,3722,427.31931757119827,0.6903135850694444
27 250211A5 - 5.jpg,196,214.0765306122449,0.018211371527777777
19 250211A4 - 3.jpg,16,137885.9375,0.9575412326388889
86 250213B8 -4.jpg,340,5510.826470588236,0.8132296006944445
15 250211A3 - 5.jpg,93,1551.8709677419354,0.062640625
67 250213B5 - 3.jpg,2462,679.6281478472787,0.7262345920138888
34 250211A7 - 1.jpg,1377,1296.6459694989107,0.7749485677083333
02 250211A1 - 2.jpg,938,1624.809168443497,0.6614891493055556
31 250211A6 - 4.jpg,726,1183.340220385675,0.3728754340277778
24 250211A5 - 2.jpg,655,2665.7534351145036,0.7578422309027778
80 250213B7 - 4.jpg,3625,378.091724137931,0.5948708767361112
75 250213B6 - 5.jpg,307,1690.157980456026,0.22520768229166666
64 250213B4 - 5.jpg,223,9319.708520179372,0.9020377604166666
73 250213B6 - 3.jpg,432,4335.822916666667,0.812966796875
36 250211A7 - 3.jpg,226,9600.884955752212,0.9417534722222223
56 250213B3 - 2.jpg,1425,933.100350877193,0.5771128472222222
32 250211A6 - 5.jpg,519,154.5645472061657,0.034817274305555555
51 250213B2 - 2.jpg,634,3022.0859621451104,0.8315983072916666
48 250211B1 - 5.jpg,884,379.4802036199095,0.14559917534722222
26 250211A5 - 4.jpg,1947,855.2318952234207,0.7227154947916666
